Artist,Last Updated,Region Name,Play Count,Unique Listeners
AnÃÂ­bal Troilo - Roberto Grela,1/16/2026 7:46:15 PM,AK,1,1
Ana Torroja y Miguel BosÃÂ©,1/16/2026 7:46:15 PM,AK,1,1
Anberlin,1/16/2026 7:46:15 PM,AK,1,1
Andrea Bocelli,1/16/2026 7:46:15 PM,AK,1,1
Andreas Johnson,1/16/2026 7:46:15 PM,AK,1,1
Andres Calamaro,1/16/2026 7:46:15 PM,AK,1,1
Andrew Bird,1/16/2026 7:46:15 PM,AK,6,3
And So I Watch You from Afar,1/16/2026 7:46:15 PM,AK,1,1
Andy Starr,1/16/2026 7:46:15 PM,AK,1,1
Angelo Debarre,1/16/2026 7:46:15 PM,AK,1,1
Angels and Airwaves,1/16/2026 7:46:15 PM,AK,2,2
Angie Stone / James Ingram,1/16/2026 7:46:15 PM,AK,1,1
Angus & Julia Stone,1/16/2026 7:46:15 PM,AK,4,1
Animal Collective,1/16/2026 7:46:15 PM,AK,2,2
Anne Linnet,1/16/2026 7:46:15 PM,AK,1,1
Ann Peebles,1/16/2026 7:46:15 PM,AK,1,1
Another Sunny Day,1/16/2026 7:46:15 PM,AK,1,1
Anthrax,1/16/2026 7:46:15 PM,AK,1,1
Antonio Carlos Jobim,1/16/2026 7:46:15 PM,AK,1,1
Antonio Orozco / Ivan Ferreiro,1/16/2026 7:46:15 PM,AK,1,1
A Perfect Circle,1/16/2026 7:46:15 PM,AK,3,1
Apocalyptica,1/16/2026 7:46:15 PM,AK,4,2
Apoptygma Berzerk,1/16/2026 7:46:15 PM,AK,1,1
Appliance,1/16/2026 7:46:15 PM,AK,1,1
Aqua,1/16/2026 7:46:15 PM,AK,1,1
Arcade Fire,1/16/2026 7:46:15 PM,AK,1,1
Arcangeli Baroque Strings,1/16/2026 7:46:15 PM,AK,1,1
Architecture In Helsinki,1/16/2026 7:46:15 PM,AK,1,1
Arctic Monkeys,1/16/2026 7:46:15 PM,AK,6,3
Ariel Pink's Haunted Graffiti,1/16/2026 7:46:15 PM,AK,1,1
Ark,1/16/2026 7:46:15 PM,AK,1,1
Armin van Buuren,1/16/2026 7:46:15 PM,AK,2,2
ARRESTED DEVELOPMENT,1/16/2026 7:46:15 PM,AK,1,1
Art Pepper & Shelley Manne,1/16/2026 7:46:15 PM,AK,1,1
Ashanti,1/16/2026 7:46:15 PM,AK,3,3
Asher Roth / Cee-Lo,1/16/2026 7:46:15 PM,AK,1,1
Asher Roth / Keri Hilson,1/16/2026 7:46:15 PM,AK,1,1
Ashley Parker Angel,1/16/2026 7:46:15 PM,AK,1,1
Ashley Tisdale,1/16/2026 7:46:15 PM,AK,1,1
As I Lay Dying,1/16/2026 7:46:15 PM,AK,4,2
Asking Alexandria,1/16/2026 7:46:15 PM,AK,3,1
Asobi Seksu,1/16/2026 7:46:15 PM,AK,2,1
Astral Projection (Dazzle Pulse),1/16/2026 7:46:15 PM,AK,1,1
ATB,1/16/2026 7:46:15 PM,AK,2,2
Aterciopelados,1/16/2026 7:46:15 PM,AK,1,1
Athlete,1/16/2026 7:46:15 PM,AK,1,1
Atlas Sound,1/16/2026 7:46:15 PM,AK,1,1
Atmosphere,1/16/2026 7:46:15 PM,AK,1,1
Atomic Kitten,1/16/2026 7:46:15 PM,AK,1,1
Atreyu,1/16/2026 7:46:15 PM,AK,1,1
A Tribe Called Quest,1/16/2026 7:46:15 PM,AK,1,1
Audio Adrenaline,1/16/2026 7:46:15 PM,AK,1,1
Audio Bullys Featuring Nancy Sinatra,1/16/2026 7:46:15 PM,AK,1,1
Audioslave,1/16/2026 7:46:15 PM,AK,1,1
Augustana,1/16/2026 7:46:15 PM,AK,1,1
August Burns Red,1/16/2026 7:46:15 PM,AK,1,1
Au Revoir Simone,1/16/2026 7:46:15 PM,AK,2,2
Avant,1/16/2026 7:46:15 PM,AK,1,1
Avantasia,1/16/2026 7:46:15 PM,AK,1,1
Avenged Sevenfold,1/16/2026 7:46:15 PM,AK,4,1
Aventura,1/16/2026 7:46:15 PM,AK,3,3
Averse Sefira,1/16/2026 7:46:15 PM,AK,1,1
Axwell & Sebastian Ingrosso vs Salem Al Fakir,1/16/2026 7:46:15 PM,AK,1,1
B5,1/16/2026 7:46:15 PM,AK,1,1
BÃÂ¶hse Onkelz,1/16/2026 7:46:15 PM,AK,1,1
Baby Boy Da Prince / P. Town Moe,1/16/2026 7:46:15 PM,AK,1,1
Bachelors of Science,1/16/2026 7:46:15 PM,AK,1,1
Bacilos,1/16/2026 7:46:15 PM,AK,2,2
Backstreet Boys,1/16/2026 7:46:15 PM,AK,1,1
Bad Astronaut,1/16/2026 7:46:15 PM,AK,1,1
Bahramji & Maneesh De Moor,1/16/2026 7:46:15 PM,AK,1,1
Bajaga & Instruktori,1/16/2026 7:46:15 PM,AK,1,1
Balkan Beat Box,1/16/2026 7:46:15 PM,AK,1,1
Bandits of the Acoustic Revolution,1/16/2026 7:46:15 PM,AK,1,1
BarÃÂ£o Vermelho,1/16/2026 7:46:15 PM,AK,1,1
Barcode Brothers,1/16/2026 7:46:15 PM,AK,1,1
BarlowGirl,1/16/2026 7:46:15 PM,AK,1,1
Barry Manilow,1/16/2026 7:46:15 PM,AK,1,1
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,1/16/2026 7:46:15 PM,AK,9,3
Barry White,1/16/2026 7:46:15 PM,AK,1,1
Base Ball Bear,1/16/2026 7:46:15 PM,AK,2,1
Bassholes,1/16/2026 7:46:15 PM,AK,1,1
Basshunter,1/16/2026 7:46:15 PM,AK,1,1
Bat For Lashes,1/16/2026 7:46:15 PM,AK,1,1
Battles,1/16/2026 7:46:15 PM,AK,1,1
Bayside,1/16/2026 7:46:15 PM,AK,2,2
B.B. King,1/16/2026 7:46:15 PM,AK,1,1
Beach House,1/16/2026 7:46:15 PM,AK,2,1
Beastie Boys,1/16/2026 7:46:15 PM,AK,11,3
Beatsteaks,1/16/2026 7:46:15 PM,AK,1,1
Bebe And Cece Winans,1/16/2026 7:46:15 PM,AK,1,1
Bebel Gilberto,1/16/2026 7:46:15 PM,AK,1,1
Beck,1/16/2026 7:46:15 PM,AK,1,1
Behemoth,1/16/2026 7:46:15 PM,AK,1,1
Beirut,1/16/2026 7:46:15 PM,AK,4,2
Belle and Sebastian,1/16/2026 7:46:15 PM,AK,1,1
Belle & Sebastian,1/16/2026 7:46:15 PM,AK,1,1
Bell X1,1/16/2026 7:46:15 PM,AK,1,1
Benassi Bros.,1/16/2026 7:46:15 PM,AK,1,1
Benevento / Russo Duo,1/16/2026 7:46:15 PM,AK,1,1
Ben Folds,1/16/2026 7:46:15 PM,AK,3,2
Ben Folds Five,1/16/2026 7:46:15 PM,AK,1,1
Benga,1/16/2026 7:46:15 PM,AK,2,2
Ben Kweller,1/16/2026 7:46:15 PM,AK,1,1
Benny Benassi,1/16/2026 7:46:15 PM,AK,1,1
Benny Benassi Presents The Biz,1/16/2026 7:46:15 PM,AK,2,2
Bentley Rhythm Ace,1/16/2026 7:46:15 PM,AK,1,1
Bette Midler,1/16/2026 7:46:15 PM,AK,1,1
Between The Buried And Me,1/16/2026 7:46:15 PM,AK,2,1
BeyoncÃÂ©,1/16/2026 7:46:15 PM,AK,10,3
BeyoncÃÂ© feat. Slim Thug,1/16/2026 7:46:15 PM,AK,3,2
Biffy Clyro,1/16/2026 7:46:15 PM,AK,2,2
Big L,1/16/2026 7:46:15 PM,AK,1,1
Big & Rich,1/16/2026 7:46:15 PM,AK,1,1
Big Tymers,1/16/2026 7:46:15 PM,AK,1,1
Big Tymers / TQ / Barewolf,1/16/2026 7:46:15 PM,AK,1,1
Bill Conti,1/16/2026 7:46:15 PM,AK,1,1
Bill Douglas,1/16/2026 7:46:15 PM,AK,1,1
Bill Evans Quintet,1/16/2026 7:46:15 PM,AK,1,1
Billy Cobham,1/16/2026 7:46:15 PM,AK,1,1
Billy Currington,1/16/2026 7:46:15 PM,AK,2,2
Billy Idol,1/16/2026 7:46:15 PM,AK,2,2
Billy Squier,1/16/2026 7:46:15 PM,AK,1,1
Billy Talent,1/16/2026 7:46:15 PM,AK,4,3
Björk,1/16/2026 7:46:15 PM,AK,15,3
BlÃÂ¸f,1/16/2026 7:46:15 PM,AK,1,1
Blackalicious,1/16/2026 7:46:15 PM,AK,1,1
Black Box,1/16/2026 7:46:15 PM,AK,1,1
Black Eyed Peas,1/16/2026 7:46:15 PM,AK,12,4
Black Moth Super Rainbow,1/16/2026 7:46:15 PM,AK,1,1
Black Mountain,1/16/2026 7:46:15 PM,AK,1,1
Black Rebel Motorcycle Club,1/16/2026 7:46:15 PM,AK,1,1
Black Sabbath,1/16/2026 7:46:15 PM,AK,1,1
Black Stone Cherry,1/16/2026 7:46:15 PM,AK,2,1
Blake Lewis,1/16/2026 7:46:15 PM,AK,1,1
Blessid Union Of Souls,1/16/2026 7:46:15 PM,AK,1,1
blessthefall,1/16/2026 7:46:15 PM,AK,1,1
Blind Melon,1/16/2026 7:46:15 PM,AK,1,1
Blind Pilot,1/16/2026 7:46:15 PM,AK,1,1
Blink-182,1/16/2026 7:46:15 PM,AK,5,2
Blitzen Trapper,1/16/2026 7:46:15 PM,AK,1,1
Blondie,1/16/2026 7:46:15 PM,AK,1,1
Bloodhound Gang,1/16/2026 7:46:15 PM,AK,1,1
Blu Cantrell,1/16/2026 7:46:15 PM,AK,1,1
Blue Foundation,1/16/2026 7:46:15 PM,AK,1,1
Blue Giant,1/16/2026 7:46:15 PM,AK,1,1
Blue October,1/16/2026 7:46:15 PM,AK,1,1
Blur,1/16/2026 7:46:15 PM,AK,1,1
B.o.B,1/16/2026 7:46:15 PM,AK,3,2
B.O.B.,1/16/2026 7:46:15 PM,AK,1,1
Bobbie Gentry,1/16/2026 7:46:15 PM,AK,1,1
Bobby Vee,1/16/2026 7:46:15 PM,AK,1,1
Bobby Vinton,1/16/2026 7:46:15 PM,AK,1,1
Bob James,1/16/2026 7:46:15 PM,AK,1,1
Bob Lind,1/16/2026 7:46:15 PM,AK,1,1
Bob Marley & The Wailers,1/16/2026 7:46:15 PM,AK,1,1
Bodyrox,1/16/2026 7:46:15 PM,AK,1,1
Bohren & Der Club Of Gore,1/16/2026 7:46:15 PM,AK,3,2
Boikot,1/16/2026 7:46:15 PM,AK,1,1
Bomfunk MC's,1/16/2026 7:46:15 PM,AK,1,1
Bond,1/16/2026 7:46:15 PM,AK,1,1
Bon Iver,1/16/2026 7:46:15 PM,AK,6,2
Bon Jovi,1/16/2026 7:46:15 PM,AK,7,2
Bonnie Raitt,1/16/2026 7:46:15 PM,AK,1,1
Bonobo,1/16/2026 7:46:15 PM,AK,1,1
Bonobo feat.  Bajka,1/16/2026 7:46:15 PM,AK,1,1
Bonobo Featuring Andreya Triana,1/16/2026 7:46:15 PM,AK,1,1
Bostich_ Fussible,1/16/2026 7:46:15 PM,AK,1,1
Bow Wow,1/16/2026 7:46:15 PM,AK,1,1
Boys Like Girls,1/16/2026 7:46:15 PM,AK,2,2
Boys Like Girls featuring Taylor Swift,1/16/2026 7:46:15 PM,AK,2,2
Boys Night Out,1/16/2026 7:46:15 PM,AK,1,1
Boyz II Men,1/16/2026 7:46:15 PM,AK,3,3
Boyz N Da Hood,1/16/2026 7:46:15 PM,AK,1,1
Brad Paisley,1/16/2026 7:46:15 PM,AK,2,1
Bram Vermeulen,1/16/2026 7:46:15 PM,AK,2,2
Brand New,1/16/2026 7:46:15 PM,AK,1,1
Brandy duet with Monica,1/16/2026 7:46:15 PM,AK,1,1
Brant Bjork,1/16/2026 7:46:15 PM,AK,1,1
Brasilian Tropical Orchestra,1/16/2026 7:46:15 PM,AK,1,1
Breakfast Club,1/16/2026 7:46:15 PM,AK,1,1
Breaking Benjamin,1/16/2026 7:46:15 PM,AK,1,1
Brenda Lee,1/16/2026 7:46:15 PM,AK,1,1
BRICE_ JEAN-MARIE/BRICE_ JEAN-,1/16/2026 7:46:15 PM,AK,1,1
Brightblack Morning Light,1/16/2026 7:46:15 PM,AK,1,1
Bright Eyes,1/16/2026 7:46:15 PM,AK,3,2
Britney Spears,1/16/2026 7:46:15 PM,AK,5,2
Britt Nicole,1/16/2026 7:46:15 PM,AK,1,1
Broken Social Scene,1/16/2026 7:46:15 PM,AK,1,1
Brooks & Dunn,1/16/2026 7:46:15 PM,AK,1,1
Bruce Hornsby and the Range,1/16/2026 7:46:15 PM,AK,1,1
Bruce Rowland,1/16/2026 7:46:15 PM,AK,1,1
Bryan Adams,1/16/2026 7:46:15 PM,AK,2,2
Bryan Ferry,1/16/2026 7:46:15 PM,AK,1,1
Built To Spill,1/16/2026 7:46:15 PM,AK,3,2
Bullet For My Valentine,1/16/2026 7:46:15 PM,AK,2,1
Burial,1/16/2026 7:46:15 PM,AK,1,1
Burning Airlines,1/16/2026 7:46:15 PM,AK,1,1
Buscemi,1/16/2026 7:46:15 PM,AK,1,1
Busdriver,1/16/2026 7:46:15 PM,AK,1,1
Bush,1/16/2026 7:46:15 PM,AK,1,1
Butthole Surfers,1/16/2026 7:46:15 PM,AK,3,2
Buy Now!,1/16/2026 7:46:15 PM,AK,1,1
Buzzcocks,1/16/2026 7:46:15 PM,AK,1,1
CÃÂ©line Dion,1/16/2026 7:46:15 PM,AK,1,1
Cachao,1/16/2026 7:46:15 PM,AK,1,1
CafÃÂ© Tacvba,1/16/2026 7:46:15 PM,AK,2,2
Cage The Elephant,1/16/2026 7:46:15 PM,AK,4,3
Cajjmere Wray,1/16/2026 7:46:15 PM,AK,1,1
Cake,1/16/2026 7:46:15 PM,AK,4,3
Calexico,1/16/2026 7:46:15 PM,AK,1,1
Calle 13,1/16/2026 7:46:15 PM,AK,4,3
Cameo,1/16/2026 7:46:15 PM,AK,1,1
Camera Obscura,1/16/2026 7:46:15 PM,AK,3,2
Camila,1/16/2026 7:46:15 PM,AK,4,1
Camille Saint-Saens,1/16/2026 7:46:15 PM,AK,1,1
Camper Van Beethoven,1/16/2026 7:46:15 PM,AK,2,2
Cannonball Adderley Quintet,1/16/2026 7:46:15 PM,AK,1,1
Caparezza,1/16/2026 7:46:15 PM,AK,3,2
Cappadonna featuring Ghostface Killah,1/16/2026 7:46:15 PM,AK,1,1
Carcass,1/16/2026 7:46:15 PM,AK,1,1
Caribou,1/16/2026 7:46:15 PM,AK,2,1
Caribou (formerly Dan Snaith's Manitoba),1/16/2026 7:46:15 PM,AK,2,1
Carla Bruni,1/16/2026 7:46:15 PM,AK,2,2
Carlos Baute,1/16/2026 7:46:15 PM,AK,1,1
Carlos Gardel,1/16/2026 7:46:15 PM,AK,1,1
Carlos Vives,1/16/2026 7:46:15 PM,AK,2,1
Carnal Forge,1/16/2026 7:46:15 PM,AK,1,1
Caro Emerald,1/16/2026 7:46:15 PM,AK,1,1
Carpenters,1/16/2026 7:46:15 PM,AK,1,1
Cartola,1/16/2026 7:46:15 PM,AK,7,2
Casiotone For The Painfully Alone,1/16/2026 7:46:15 PM,AK,2,2
Cassie,1/16/2026 7:46:15 PM,AK,1,1
Casting Crowns,1/16/2026 7:46:15 PM,AK,1,1
Cathedral,1/16/2026 7:46:15 PM,AK,1,1
Cathy Davey,1/16/2026 7:46:15 PM,AK,1,1
Cat Power,1/16/2026 7:46:15 PM,AK,2,1
Cat Stevens,1/16/2026 7:46:15 PM,AK,7,2
Cazuza,1/16/2026 7:46:15 PM,AK,1,1
Ceca - Svetlana Raznatovic,1/16/2026 7:46:15 PM,AK,1,1
Celtic Woman,1/16/2026 7:46:15 PM,AK,1,1
Cesare Basile,1/16/2026 7:46:15 PM,AK,1,1
Chantay's,1/16/2026 7:46:15 PM,AK,1,1
Charlie Brown Jr,1/16/2026 7:46:15 PM,AK,1,1
Charlie Hall,1/16/2026 7:46:15 PM,AK,1,1
Charlie Louvin,1/16/2026 7:46:15 PM,AK,3,2
Charlie Peacock,1/16/2026 7:46:15 PM,AK,1,1
Charly GarcÃÂ­a,1/16/2026 7:46:15 PM,AK,1,1
Charttraxx Karaoke,1/16/2026 7:46:15 PM,AK,1,1
Chavez,1/16/2026 7:46:15 PM,AK,2,2
Cher,1/16/2026 7:46:15 PM,AK,1,1
Cherry Ghost,1/16/2026 7:46:15 PM,AK,1,1
Cheryl Cole,1/16/2026 7:46:15 PM,AK,1,1
Chet Baker,1/16/2026 7:46:15 PM,AK,1,1
Chetes,1/16/2026 7:46:15 PM,AK,1,1
Chicane,1/16/2026 7:46:15 PM,AK,1,1
Chico,1/16/2026 7:46:15 PM,AK,1,1
Chico CÃÂ©sar,1/16/2026 7:46:15 PM,AK,1,1
Chiddy Bang,1/16/2026 7:46:15 PM,AK,1,1
Children Of Bodom,1/16/2026 7:46:15 PM,AK,3,3
Choeur ArmÃÂ©nien de Sofia,1/16/2026 7:46:15 PM,AK,1,1
Chris Bathgate,1/16/2026 7:46:15 PM,AK,1,1
Chris Botti,1/16/2026 7:46:15 PM,AK,1,1
Chris Brown,1/16/2026 7:46:15 PM,AK,1,1
Chris Brown featuring will.i.am,1/16/2026 7:46:15 PM,AK,1,1
Chris Knight,1/16/2026 7:46:15 PM,AK,1,1
Chris Rock,1/16/2026 7:46:15 PM,AK,1,1
Chris Rodriguez,1/16/2026 7:46:15 PM,AK,1,1
Chris Thile,1/16/2026 7:46:15 PM,AK,1,1
Christie Front Drive,1/16/2026 7:46:15 PM,AK,1,1
Christina Aguilera,1/16/2026 7:46:15 PM,AK,1,1
Christopher Hopper,1/16/2026 7:46:15 PM,AK,1,1
Chromeo,1/16/2026 7:46:15 PM,AK,1,1
Cibelle,1/16/2026 7:46:15 PM,AK,1,1
Circa 1500,1/16/2026 7:46:15 PM,AK,1,1
CKY,1/16/2026 7:46:15 PM,AK,1,1
Clara Hill,1/16/2026 7:46:15 PM,AK,3,3
"Clarence ""Gatemouth"" Brown",1/16/2026 7:46:15 PM,AK,1,1
Classified,1/16/2026 7:46:15 PM,AK,1,1
Clifford Brown,1/16/2026 7:46:15 PM,AK,2,1
Clive Scott,1/16/2026 7:46:15 PM,AK,1,1
Cloud Cult,1/16/2026 7:46:15 PM,AK,2,1
Cobra Starship Featuring Leighton Meester,1/16/2026 7:46:15 PM,AK,2,2
Cocoa Brovas,1/16/2026 7:46:15 PM,AK,1,1
Cocteau Twins,1/16/2026 7:46:15 PM,AK,1,1
Coheed and Cambria,1/16/2026 7:46:15 PM,AK,2,2
Coko featuring Kirk Franklin,1/16/2026 7:46:15 PM,AK,1,1
Colbie Caillat,1/16/2026 7:46:15 PM,AK,2,2
Coldplay,1/16/2026 7:46:15 PM,AK,20,4
Coldplay Tribute,1/16/2026 7:46:15 PM,AK,1,1
Colleen Et Les BoÃÂ®tes ÃÂ Musique,1/16/2026 7:46:15 PM,AK,1,1
Colossal,1/16/2026 7:46:15 PM,AK,1,1
Common / Sadat X,1/16/2026 7:46:15 PM,AK,1,1
Communards with Sarah Jane Morris,1/16/2026 7:46:15 PM,AK,1,1
Cookin' On 3 Burners,1/16/2026 7:46:15 PM,AK,1,1
Cooly's Hot Box,1/16/2026 7:46:15 PM,AK,1,1
Corey Harris,1/16/2026 7:46:15 PM,AK,1,1
Corey Hart,1/16/2026 7:46:15 PM,AK,1,1
Corinne Bailey Rae,1/16/2026 7:46:15 PM,AK,2,2
Cosmic Gate feat. Aruna,1/16/2026 7:46:15 PM,AK,1,1
Cosmo Vitelli,1/16/2026 7:46:15 PM,AK,1,1
Counting Crows,1/16/2026 7:46:15 PM,AK,1,1
Coverdale Page,1/16/2026 7:46:15 PM,AK,2,2
Cowboy Troy (Featuring Big & Rich),1/16/2026 7:46:15 PM,AK,1,1
Cows,1/16/2026 7:46:15 PM,AK,1,1
Cradle Of Filth,1/16/2026 7:46:15 PM,AK,1,1
Craig Morgan,1/16/2026 7:46:15 PM,AK,1,1
Cream,1/16/2026 7:46:15 PM,AK,2,2
Creed,1/16/2026 7:46:15 PM,AK,1,1
Creedence Clearwater Revival,1/16/2026 7:46:15 PM,AK,9,2
Crippled Black Phoenix,1/16/2026 7:46:15 PM,AK,1,1
Cross Canadian Ragweed,1/16/2026 7:46:15 PM,AK,1,1
Crowded House,1/16/2026 7:46:15 PM,AK,1,1
Crumbland,1/16/2026 7:46:15 PM,AK,1,1
Cryptic Slaughter,1/16/2026 7:46:15 PM,AK,1,1
Crystal,1/16/2026 7:46:15 PM,AK,1,1
Crystal Castles,1/16/2026 7:46:15 PM,AK,1,1
Cuff the Duke,1/16/2026 7:46:15 PM,AK,1,1
Cursive,1/16/2026 7:46:15 PM,AK,1,1
Cut Copy,1/16/2026 7:46:15 PM,AK,3,2
Cutting Crew,1/16/2026 7:46:15 PM,AK,1,1
C.V. JÃÂ¸rgensen,1/16/2026 7:46:15 PM,AK,1,1
Cyberfit,1/16/2026 7:46:15 PM,AK,1,1
D-12,1/16/2026 7:46:15 PM,AK,1,1
Daddy Yankee,1/16/2026 7:46:15 PM,AK,2,2
Daft Punk,1/16/2026 7:46:15 PM,AK,6,3
Dakota Oak,1/16/2026 7:46:15 PM,AK,1,1
Dale Hawkins,1/16/2026 7:46:15 PM,AK,1,1
Da Lench Mob,1/16/2026 7:46:15 PM,AK,1,1
Damian Marley / Bounty Killer / Treach / Bunny Wailer,1/16/2026 7:46:15 PM,AK,1,1
Damian Marley / Bunny Wailer,1/16/2026 7:46:15 PM,AK,1,1
Damien Rice,1/16/2026 7:46:15 PM,AK,1,1
Damien Rice and Lisa Hannigan,1/16/2026 7:46:15 PM,AK,1,1
D'Angelo,1/16/2026 7:46:15 PM,AK,2,1
Dangerdoom,1/16/2026 7:46:15 PM,AK,1,1
Danger Doom,1/16/2026 7:46:15 PM,AK,1,1
Daniel Bedingfield,1/16/2026 7:46:15 PM,AK,1,1
Danny Barnes,1/16/2026 7:46:15 PM,AK,1,1
Danny Elfman,1/16/2026 7:46:15 PM,AK,1,1
Danny Wilson,1/16/2026 7:46:15 PM,AK,1,1
Darius Rucker,1/16/2026 7:46:15 PM,AK,2,2
DARTZ!,1/16/2026 7:46:15 PM,AK,1,1
Darude,1/16/2026 7:46:15 PM,AK,3,1
Dar Williams,1/16/2026 7:46:15 PM,AK,1,1
Darwin Deez,1/16/2026 7:46:15 PM,AK,1,1
Dashboard Confessional,1/16/2026 7:46:15 PM,AK,2,1
Daughters,1/16/2026 7:46:15 PM,AK,1,1
Daughtry featuring Slash,1/16/2026 7:46:15 PM,AK,1,1
Dave Gahan,1/16/2026 7:46:15 PM,AK,1,1
DAVE MATTHEWS BAND,1/16/2026 7:46:15 PM,AK,1,1
Dave Weckl,1/16/2026 7:46:15 PM,AK,1,1
David Arkenstone,1/16/2026 7:46:15 PM,AK,1,1
David Bowie,1/16/2026 7:46:15 PM,AK,1,1
David Lee Roth,1/16/2026 7:46:15 PM,AK,1,1
David Mead,1/16/2026 7:46:15 PM,AK,1,1
David Sylvian,1/16/2026 7:46:15 PM,AK,1,1
